type,rate,year,city
1,16,2010,DC
2,12.4,2011,DC
3,9.2,2012,DC
4,10.2,2010,minn
5,9.5,2011,minn
6,10.7,2012,minn
1,20,2010,oak
2,25.2,2011,oak
3,28.9,2012,oak
